sound_id	wav_file	original_fs_hz	target_fs_hz	samples	peak
1	Chords_2+4+5+8_kHz.wav	24000	192000	96000	0.40157202
2	Chords_2+4+5_kHz.wav	24000	192000	96000	0.330041801
3	Chords_2+4+8_kHz.wav	24000	192000	96000	0.279988201
4	Chords_2+4_kHz.wav	24000	192000	96000	0.220558677
5	Chords_2+5+8_kHz.wav	24000	192000	96000	0.366114128
6	Chords_2+5_kHz.wav	24000	192000	96000	0.245304469
7	Chords_2+8_kHz.wav	24000	192000	96000	0.241782045
8	Chords_4+5+8_kHz.wav	24000	192000	96000	0.338586585
9	Chords_4+5_kHz.wav	24000	192000	96000	0.24684568
10	Chords_4+8+12_kHz.wav	24000	192000	96000	0.321517783
11	Chords_4+8_kHz.wav	24000	192000	96000	0.220820135
12	Sin4Hz_10+12_kHz.wav	24000	192000	96000	0.214313957
13	Sin4Hz_10kHz.wav	24000	192000	96000	0.125253021
14	Sin4Hz_11kHz.wav	24000	192000	96000	0.125059547
15	Sin4Hz_12kHz.wav	24000	192000	96000	0.0931770214
16	Sin4Hz_1kHz.wav	24000	192000	96000	0.125387409
17	Sin4Hz_2+4+6+8_kHz.wav	24000	192000	96000	0.405306675
18	Sin4Hz_2kHz.wav	24000	192000	96000	0.125243079
19	Sin4Hz_3kHz.wav	24000	192000	96000	0.125324908
20	Sin4Hz_4kHz.wav	24000	192000	96000	0.125324767
21	Sin4Hz_5kHz.wav	24000	192000	96000	0.125237778
22	Sin4Hz_6kHz.wav	24000	192000	96000	0.125402841
23	Sin4Hz_7kHz.wav	24000	192000	96000	0.125180018
24	Sin4Hz_8kHz.wav	24000	192000	96000	0.125557919
25	Sin4Hz_9kHz.wav	24000	192000	96000	0.125132555
26	Sin4Hz_WN.wav	24000	192000	96000	0.345772303
27	Chords_5+8_kHz.wav	24000	192000	96000	0.249049044
28	Chirpup_6kHz_to_12kHz_in_100_ms.wav	24000	192000	19200	0.125778281
29	Chirpup_6kHz_to_12kHz_in_200_ms.wav	24000	192000	38400	0.125772611
30	Chirpup_6kHz_to_12kHz_in_25_ms.wav	24000	192000	4800	0.125672669
31	Chirpup_6kHz_to_12kHz_in_400_ms.wav	24000	192000	76800	0.125762075
32	Chirpup_6kHz_to_12kHz_in_50_ms.wav	24000	192000	9600	0.125744052
33	Chords_6+12_kHz.wav	24000	192000	96000	0.224248754
34	Chords_10+12_kHz.wav	24000	192000	96000	0.248076486
35	Sin10Hz_10+12_kHz.wav	24000	192000	96000	0.246358039
36	Sin10Hz_10kHz.wav	24000	192000	96000	0.125228269
37	Sin10Hz_11kHz.wav	24000	192000	96000	0.125258825
38	Sin10Hz_12kHz.wav	24000	192000	96000	0.125303092
39	Sin10Hz_1kHz.wav	24000	192000	96000	0.125414297
40	Sin10Hz_2+4+6+8_kHz.wav	24000	192000	96000	0.405312105
41	Sin10Hz_2kHz.wav	24000	192000	96000	0.125260553
42	Sin10Hz_3kHz.wav	24000	192000	96000	0.125343654
43	Sin10Hz_4kHz.wav	24000	192000	96000	0.125302662
44	Sin10Hz_5kHz.wav	24000	192000	96000	0.125225741
45	Sin10Hz_6kHz.wav	24000	192000	96000	0.125440129
46	Sin10Hz_7kHz.wav	24000	192000	96000	0.125254058
47	Sin10Hz_8kHz.wav	24000	192000	96000	0.125449552
48	Sin10Hz_9kHz.wav	24000	192000	96000	0.125043914
49	Sin10Hz_WN.wav	24000	192000	96000	0.311235027
50	Chirpdown_12kHz_to_6kHz_in_100_ms.wav	24000	192000	19200	0.125778201
51	Chirpdown_12kHz_to_6kHz_in_200_ms.wav	24000	192000	38400	0.1257724
52	Chirpdown_12kHz_to_6kHz_in_25_ms.wav	24000	192000	4800	0.125672574
53	Chirpdown_12kHz_to_6kHz_in_400_ms.wav	24000	192000	76800	0.125761822
54	Chirpdown_12kHz_to_6kHz_in_50_ms.wav	24000	192000	9600	0.12574404
55	Sin20Hz_10+12_kHz.wav	24000	192000	96000	0.247990241
56	Sin20Hz_10kHz.wav	24000	192000	96000	0.125251808
57	Sin20Hz_11kHz.wav	24000	192000	96000	0.125291934
58	Sin20Hz_12kHz.wav	24000	192000	96000	0.123768013
59	Sin20Hz_1kHz.wav	24000	192000	96000	0.125381006
60	Sin20Hz_2+4+6+8_kHz.wav	24000	192000	96000	0.405303704
61	Sin20Hz_2kHz.wav	24000	192000	96000	0.125254093
62	Sin20Hz_3kHz.wav	24000	192000	96000	0.1253216
63	Sin20Hz_4kHz.wav	24000	192000	96000	0.125322901
64	Sin20Hz_5kHz.wav	24000	192000	96000	0.125237857
65	Sin20Hz_6kHz.wav	24000	192000	96000	0.125401943
66	Sin20Hz_7kHz.wav	24000	192000	96000	0.125292003
67	Sin20Hz_8kHz.wav	24000	192000	96000	0.12555722
68	Sin20Hz_9kHz.wav	24000	192000	96000	0.125229334
69	Sin20Hz_WN.wav	24000	192000	96000	0.329720236
70	Sin40Hz_10+12_kHz.wav	24000	192000	96000	0.247811934
71	Sin40Hz_10kHz.wav	24000	192000	96000	0.125274077
72	Sin40Hz_11kHz.wav	24000	192000	96000	0.125275461
73	Sin40Hz_12kHz.wav	24000	192000	96000	0.124917328
74	Sin40Hz_1kHz.wav	24000	192000	96000	0.125296397
75	Sin40Hz_2+4+6+8_kHz.wav	24000	192000	96000	0.405340945
76	Sin40Hz_2kHz.wav	24000	192000	96000	0.125262219
77	Sin40Hz_3kHz.wav	24000	192000	96000	0.125325137
78	Sin40Hz_4kHz.wav	24000	192000	96000	0.125314041
79	Sin40Hz_5kHz.wav	24000	192000	96000	0.125257588
80	Sin40Hz_6kHz.wav	24000	192000	96000	0.125427055
81	Sin40Hz_7kHz.wav	24000	192000	96000	0.125277351
82	Sin40Hz_8kHz.wav	24000	192000	96000	0.125524681
83	Sin40Hz_9kHz.wav	24000	192000	96000	0.125277101
84	Sin40Hz_WN.wav	24000	192000	96000	0.318980366
85	PT_50dB_10kHz.wav	24000	192000	96000	0.0125303145
86	PT_50dB_11kHz.wav	24000	192000	96000	0.0125303145
87	PT_50dB_12kHz.wav	24000	192000	96000	0.0125303145
88	PT_50dB_1kHz.wav	24000	192000	96000	0.0125422057
89	PT_50dB_2kHz.wav	24000	192000	96000	0.012530306
90	PT_50dB_3kHz.wav	24000	192000	96000	0.012534452
91	PT_50dB_4kHz.wav	24000	192000	96000	0.0125324844
92	PT_50dB_5kHz.wav	24000	192000	96000	0.0125303145
93	PT_50dB_6kHz.wav	24000	192000	96000	0.0125440373
94	PT_50dB_7kHz.wav	24000	192000	96000	0.0125303145
95	PT_50dB_8kHz.wav	24000	192000	96000	0.0125557948
96	PT_50dB_9kHz.wav	24000	192000	96000	0.0125303145
97	WN_50dB.wav	24000	192000	96000	0.0362571629
98	PT_70dB_10kHz.wav	24000	192000	96000	0.125303145
99	PT_70dB_11kHz.wav	24000	192000	96000	0.125303145
100	PT_70dB_12kHz.wav	24000	192000	96000	0.125303145
101	PT_70dB_1kHz.wav	24000	192000	96000	0.125422057
102	PT_70dB_2kHz.wav	24000	192000	96000	0.12530306
103	PT_70dB_3kHz.wav	24000	192000	96000	0.12534452
104	PT_70dB_4kHz.wav	24000	192000	96000	0.125324844
105	PT_70dB_5kHz.wav	24000	192000	96000	0.125303145
106	PT_70dB_6kHz.wav	24000	192000	96000	0.125440373
107	PT_70dB_7kHz.wav	24000	192000	96000	0.125303145
108	PT_70dB_8kHz.wav	24000	192000	96000	0.125557948
109	PT_70dB_9kHz.wav	24000	192000	96000	0.125303145
110	WN_70dB.wav	24000	192000	96000	0.370780392
111	Sin80Hz_10+12_kHz.wav	24000	192000	96000	0.247249684
112	Sin80Hz_10kHz.wav	24000	192000	96000	0.125231841
113	Sin80Hz_11kHz.wav	24000	192000	96000	0.125281173
114	Sin80Hz_12kHz.wav	24000	192000	96000	0.125203906
115	Sin80Hz_1kHz.wav	24000	192000	96000	0.12542
116	Sin80Hz_2+4+6+8_kHz.wav	24000	192000	96000	0.404273605
117	Sin80Hz_2kHz.wav	24000	192000	96000	0.12517795
118	Sin80Hz_3kHz.wav	24000	192000	96000	0.125338054
119	Sin80Hz_4kHz.wav	24000	192000	96000	0.125283883
120	Sin80Hz_5kHz.wav	24000	192000	96000	0.125286368
121	Sin80Hz_6kHz.wav	24000	192000	96000	0.125401219
122	Sin80Hz_7kHz.wav	24000	192000	96000	0.125270264
123	Sin80Hz_8kHz.wav	24000	192000	96000	0.125503983
124	Sin80Hz_9kHz.wav	24000	192000	96000	0.125272198
125	Sin80Hz_WN.wav	24000	192000	96000	0.370390378
126	Sin160Hz_10+12_kHz.wav	24000	192000	96000	0.247312124
127	Sin160Hz_10kHz.wav	24000	192000	96000	0.125286368
128	Sin160Hz_11kHz.wav	24000	192000	96000	0.12529105
129	Sin160Hz_12kHz.wav	24000	192000	96000	0.125265911
130	Sin160Hz_1kHz.wav	24000	192000	96000	0.124928264
131	Sin160Hz_2+4+6+8_kHz.wav	24000	192000	96000	0.404616203
132	Sin160Hz_2kHz.wav	24000	192000	96000	0.125302473
133	Sin160Hz_3kHz.wav	24000	192000	96000	0.125287083
134	Sin160Hz_4kHz.wav	24000	192000	96000	0.125198761
135	Sin160Hz_5kHz.wav	24000	192000	96000	0.125278682
136	Sin160Hz_6kHz.wav	24000	192000	96000	0.125426926
137	Sin160Hz_7kHz.wav	24000	192000	96000	0.125273357
138	Sin160Hz_8kHz.wav	24000	192000	96000	0.125501659
139	Sin160Hz_9kHz.wav	24000	192000	96000	0.125295645
140	Sin160Hz_WN.wav	24000	192000	96000	0.32487468
141	Ramps_up5070_10kHz.wav	24000	192000	96000	0.124653436
